datetime,date,time,city,state,country,shape,duration (seconds),duration (hours/min),comments,latitude,longitude,lighting_conditions
12/23/2012 19:00,2012-12-23,19:00,westminster,md,us,triangle,3600,1 hour,Triangular shaped with flashing red and blue lights that was stationary at 9:30 pm,39.58,-77.0,night
12/23/2012 20:02,2012-12-23,20:02,venice,fl,us,fireball,300,4-5 minutes,Bright red ball of fire moving slowly across the sky&#44 stopped and transformed into a red halo.,27.1,-82.45,night
12/23/2012 20:15,2012-12-23,20:15,brewster,ma,us,flash,1500,25 minutes,Two possible crafts sighted from Greenland Pond&#44 Brewster Ma,41.76,-70.08,night
12/23/2012 20:30,2012-12-23,20:30,bear,de,us,fireball,240,4 minutes,15+ orange fireballs sequentially moving north at a moderate speed in Bear&#44 DE.,39.63,-75.66,night
12/23/2012 20:40,2012-12-23,20:40,weehawken,nj,us,other,4,4 seconds,12/23/12 - Large Object with Red Lights falls Extremely Fast from Sky To Hudson River (Weehawken) with ZERO explosion/noise,40.77,-74.02,night
12/23/2012 21:00,2012-12-23,21:00,destin,fl,us,fireball,1800,15-30 minutes,I live in Destin&#44 FL and I&#44 along with my wife and neighbors&#44 have seen floating lights several times.   The lights will last as long a,30.39,-86.5,night
12/23/2012 21:00,2012-12-23,21:00,grovetown,ga,us,triangle,60,1 minute,Triangular shape with 3 very bright white/yellow lights moving slowly approximately 75 feet over the trees and was silent. It was sight,33.45,-82.2,night
12/23/2012 21:30,2012-12-23,21:30,friday harbor,wa,us,light,10,10 seconds,At 21:30 hrs. on 12/23/12 I saw two red stationary lights in the night sky over Friday Harbor&#44 San Juan Island&#44 Washington State. It wa,48.53,-123.02,night
12/23/2012 21:50,2012-12-23,21:50,norfolk,va,us,triangle,60,1 minute,White lights&#44 V-formation jetted thru sky then turned left and disappeared,36.85,-76.29,night
12/23/2012 23:45,2012-12-23,23:45,reykjavik (iceland),,,fireball,60,1 minutes,Sunlike sphere,64.13,-21.93,night
12/23/2013 07:00,2013-12-23,07:00,cape coral,fl,us,circle,3600,1 hour,White orange circle. ((NUFORC Note:  Possible contrails&#44 reflecting rising sun??  PD)),26.56,-81.95,daylight
12/23/2013 17:30,2013-12-23,17:30,post falls,id,us,light,300,5 minutes,Light with irregular flight pattern inconsistent for plane&#44 sattelite or helicopter.,47.72,-116.95,daylight
12/23/2013 17:50,2013-12-23,17:50,san jose (??),ca,us,light,60,1 minute,Helicopter pursues/escorts ufo.,37.34,-121.89,daylight
12/23/2013 18:30,2013-12-23,18:30,waldorf,md,us,triangle,300,5 minutes,Triangular craft followed by multiple conventional planes.,38.62,-76.94,night
12/23/2013 18:45,2013-12-23,18:45,rexburg,id,us,flash,3600,1 hour,My family and I witness bright blue flashes lighting up the night sky.,43.83,-111.79,night
12/23/2013 19:00,2013-12-23,19:00,marietta,mn,us,light,60,1 minute,Flickering orange &quot;star&quot; becomes transitory&#44 races across the sky.,45.01,-96.42,night
12/23/2013 19:30,2013-12-23,19:30,orange,ca,us,circle,30,30 seconds,Orange light pulses then disappears.,33.79,-117.85,night
12/23/2013 19:30,2013-12-23,19:30,rexburg,id,us,flash,300,5 minutes,Blue&#44 red and green flashes seen above east Idaho.,43.83,-111.79,night
12/23/2013 20:00,2013-12-23,20:00,apache junction,az,us,fireball,120,2 minutes,4 people witness a total of 4 orange glowing balls fly and disappear over a two night period.,33.42,-111.55,night
